sio2,au_shell,spectrum_max_peak,sca_abs,distance,em,qe,fe
120,22,743,10.64174,14,2.50274,2.460523238,15.41199788
120,22,743,10.64174,16,2.36875,2.490319723,13.9731256
120,22,743,10.64174,18,2.24291,2.504420496,12.59885112
120,22,743,10.64174,20,2.12514,2.496517057,11.27482031
120,22,743,10.64174,30,1.64172,2.230359437,6.011364136
120,32,744,17.4089,4,2.73138,0.392264713,2.926466061
120,32,744,17.4089,6,2.64148,1.104896126,7.709320563
120,32,744,17.4089,8,2.53644,1.705331598,10.97129837
120,32,744,17.4089,10,2.42642,2.054625698,12.0966376
120,32,744,17.4089,12,2.31664,2.261278801,12.13587831
120,32,744,17.4089,14,2.21014,2.34146883,11.43741686
120,32,744,17.4089,16,2.10845,2.3908929,10.62886119
120,32,744,17.4089,18,2.01223,2.365121495,9.576541482
120,32,744,17.4089,20,1.92157,2.361247093,8.718742591
120,32,744,17.4089,30,1.54354,2.177033202,5.186815852
120,40,785,23.78414,4,2.37294,0.331054456,1.86411608
120,40,785,23.78414,6,2.29675,0.967056867,5.101283541
120,40,785,23.78414,8,2.21006,1.536564081,7.505140133
120,40,785,23.78414,10,2.11987,1.904160373,8.557008842
120,40,785,23.78414,12,2.03002,2.127253747,8.766372701
120,40,785,23.78414,14,1.9428,2.223290567,8.391747636
120,40,785,23.78414,16,1.85943,2.285766416,7.902991497
120,40,785,23.78414,18,1.7804,2.353323044,7.459620241
120,40,785,23.78414,20,1.70582,2.254405426,6.559918219
120,40,785,23.78414,30,1.39343,2.062690162,4.005016506
